Each set of data will be proceeded by a header in square brackets: [].

[DESCRIPTION]
notableTrait,knownFor,calamity
a population of mostly wealthy people,flowers,being besieged by enemies

[PEOPLE]
Id,FirstName,LastName,Caste,RaceFrequency,Race,Age,Gender,Family,Spouse,Appearance,Strength,Weakness,Talent,Manuerism,Interaction,GoodOrEvilIdeal,LawfulOrChaoticIdeal,NeutralOrOtherIdeal,Bond,FlawOrSecret,RaceAge,ownedBusiness,worksAt
"1","YRIAN","PARRIS","Noble","Common","Human","21","Male","PARRIS [1]","","Unusual hair color","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Great with children","Uses flowery speech or long words","Irritable","Greater good or Might","Fairness or Creativity","Balance or Aspiration","Drawn to a special place and Loyal to a benefactor, patron, or employer","Forbidden love or susceptibility to romance","21","PARRIS Manor",""
"2","DANY","MACDOUGALL","Noble","Common","Human","12","Female","MACDOUGALL [303]","","Unusual eye color (or two different colors)","Dexterity - lithe, agile, graceful","Charisma - dull, boring","Expert dart thrower and rock skipper","Makes constant jokes or puns","Hot tempered","Beauty or Domination","Responsibility or No limits","Neutrality or Redemption","Out for revenge","Prone to rage","12","MACDOUGALL Manor",""
"3","ELOV","ROSENBERG","Noble","Common","Human","24","Male","ROSENBERG [2]","","Distinctive posture (crooked or rigid)","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Great at one game","Enunciates overly clearly","Hot tempered","Beauty or Domination","Honor or Freedom","Moderation or Nation","Dedicated to fulfilling a personal life goal","Specific phobia","24","ROSENBERG Manor",""
"4","KAJA","MIKKELSEN","Noble","Uncommon","Half-Elf","7","Female","MIKKELSEN [304]","","","","","","","","","","","","","7","MIKKELSEN Manor",""
"5","BERTHA","BENDTSEN","Noble","Common","Human","51","Female","BENDTSEN [3]","","Unusual eye color (or two different colors)","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Perfect memory","Speaks in rhyme or some other peculiar way","Hot tempered","Greater good or Might","Logic or Independence","Moderation or Nation","Protective of close family members","Prone to rage","51","BENDTSEN Manor",""
"6","ERNA","PARENT","Mercantile","Common","Human","24","Female","PARENT [4]","ESBEN PARENT","Unusual eye color (or two different colors)","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Expert carpenter","Uses colorful oaths and exclamations","Hot tempered","Self-sacrifice or Slaughter","Responsibility or No limits","Live and let live or Glory","Captivated by a romantic interest","Shameful or scandalous history","24","ERNA'S GOODS",""
"7","ESBEN","PARENT","Mercantile","Common","Human","18","Male","PARENT [4]","ERNA PARENT","Missing fingers","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Great with children","Uses colorful oaths and exclamations","Friendly","Respect or Retribution","Fairness or Creativity","Balance or Aspiration","Captivated by a romantic interest","Foolhardy bravery","18","ERNA'S GOODS",""
"8","GRY","LYKKE","Mercantile","Common","Human","74","Female","LYKKE [5]","","Unusual eye color (or two different colors)","Charisma - persuasive, forceful, born leader","Dexterity - clumsy, fumbling","Expert juggler","Stares into the distance","Quiet","Greater good or Might","Tradition or Whimsy","Knowledge or Discovery","Protective of a sentimental keepsake","Foolhardy bravery","74","GRY'S LODGE",""
"9","LEOPOLD","MACLEOD","Mercantile","Uncommon","Half-Elf","23","Male","MACLEOD [6]","ANNETTE MACLEOD","Unusual skin color","Charisma - persuasive, forceful, born leader","Intelligence - dim-witted, slow","Expert dart thrower and rock skipper","Particularly low or high voice","Rude","Self-sacrifice or Slaughter","Community or Change","Live and let live or Glory","Loyal to a benefactor, patron, or employer","Foolhardy bravery","25","","ERNA'S GOODS"
"10","ANNETTE","MACLEOD","Mercantile","Uncommon","Dwarf","18","Female","MACLEOD [6]","LEOPOLD MACLEOD","Unusual skin color","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Skilled actor and master of disguise","Squints","Hot tempered","Greater good or Might","Responsibility or No limits","Knowledge or Discovery","Protective of a sentimental keepsake","Forbidden love or susceptibility to romance","50","","ERNA'S GOODS"
"11","JOHANNA","BLANCHET","Mercantile","Uncommon","Dwarf","61","Female","BLANCHET [7]","","Birthmark","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Expert carpenter","Uses colorful oaths and exclamations","Suspicious","Charity or Greed","Honor or Freedom","Live and let live or Glory","Protective of close family members","Specific phobia","169","","GRY'S LODGE"
"12","RORY","ROSENFELD","Mercantile","Uncommon","Dwarf","42","Male","ROSENFELD [8]","BORGHILD ROSENFELD","Birthmark","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Skilled actor and master of disguise","Bites fingernails","Hot tempered","Beauty or Domination","Responsibility or No limits","Neutrality or Redemption","Dedicated to fulfilling a personal life goal","Possession of forbidden lore","116","",""
"13","DANI","KENDRICK","Mercantile","Uncommon","Half-Elf","20","Male","KENDRICK [9]","GEORGINA KENDRICK","Exceptionally beautiful","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Draws beautifully","Uses colorful oaths and exclamations","Blustering","Respect or Retribution","Fairness or Creativity","Balance or Aspiration","Protective of colleagues or compatriots","Overpowering greed","22","",""
"14","RAMSAY","ROSENFELD","Mercantile","Common","Human","20","Male","ROSENFELD [8]","","Distinctive posture (crooked or rigid)","Charisma - persuasive, forceful, born leader","Dexterity - clumsy, fumbling","Knows thieves’ cant","Speaks in rhyme or some other peculiar way","Friendly","Self-sacrifice or Slaughter","Responsibility or No limits","Balance or Aspiration","Dedicated to fulfilling a personal life goal","Forbidden love or susceptibility to romance","20","",""
